         84298311 function calls (84271918 primitive calls) in 78.872 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      867    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
    807/4    0.003    0.000    0.640    0.160 <frozen importlib._bootstrap>:663(_load_unlocked)
      849    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
     1575    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      844    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
     2580    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     2580    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:864(_resolve_name)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      849    0.004    0.000    0.049    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
    865/4    0.002    0.000    0.641    0.160 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    870/4    0.003    0.000    0.641    0.160 <frozen importlib._bootstrap>:978(_find_and_load)
    12/10    0.000    0.000    0.056    0.006 <frozen importlib._bootstrap>:994(_gcd_import)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
  126/123    0.000    0.000    0.070    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
  126/108    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       91    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1360    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      844    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      844    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      801    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1233    0.008    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       91    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     1350    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      801    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1233    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      675    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
